Province,District_Name,Crop_Year,Season,Crop,Area,Production
Harare,Harare,1998,Rainy     ,Maize ,51,434
Harare,Harare,1998,Rainy     ,Soybeans,283,15492
Harare,Harare,1998,Rainy     ,Groundnuts (Peanuts),30,1781
Harare,Harare,1998,Rainy     ,Cowpeas,11,1438
Harare,Harare,1998,Rainy     ,Sunflower,337,21812
Harare,Harare,1998,Rainy     ,Sorghum,418,13420
Harare,Harare,1998,Rainy     ,Millet,98,1430
Harare,Harare,1998,Rainy     ,Beans,240,16809
Harare,Harare,1998,Rainy     ,Sweet potatoes,342,10778
Harare,Harare,1998,Rainy     ,Watermelons,60,6798
Harare,Harare,1998,Rainy     ,Tomatoes,393,9101
Harare,Harare,1998,Rainy     ,Cabbage,364,19564
Harare,Harare,1998,Rainy     ,Peppers,214,12214
Harare,Harare,1998,Rainy     ,Okra,339,15018
Harare,Harare,1998,Rainy     ,Cucumbers,370,8728
Harare,Harare,1998,Cold       ,Onion,265,9767
Harare,Harare,1998,Cold       ,Kale,353,11654
Harare,Harare,1998,Cold       ,Spinach,105,18244
Harare,Harare,1998,Cold       ,Lettuce,327,10807
Harare,Harare,1998,Cold       ,Broccoli,204,12557
Harare,Harare,1998,Cold       ,Cauliflower,15,3028
Harare,Harare,1998,Cold       ,Cabbage,499,19352
Harare,Harare,1998,Cold       ,Carrots,192,23895
Harare,Harare,1998,Cold       ,Beets,357,17972
Harare,Harare,1998,Cold       ,Peas,471,2720
Harare,Harare,1998,Cold       ,Radishes,311,14568
Harare,Harare,1998,Hot     ,Sweet potatoes,332,1615
Harare,Harare,1998,Hot     ,Watermelons,449,16514
Harare,Harare,1998,Hot     ,Tomatoes,213,2307
Harare,Harare,1998,Hot     ,Peppers,171,21472
Harare,Harare,1998,Hot     ,Okra,367,16321
Harare,Harare,1998,Hot     ,Cucumbers,343,15567
Harare,Harare,1998,Hot     ,Eggplant,80,20076
Harare,Harare,1998,Hot     ,Pumpkins,440,1703
Harare,Harare,1998,Hot     ,Squash,253,10705
Harare,Harare,1999,Hot     ,Melons,108,15411
Harare,Harare,1999,Rainy     ,Bajra,33,20824
Harare,Harare,1999,Rainy     ,Maize,415,1596
Harare,Harare,,Dry,Wheat,95,12172
Harare,Harare,,Dry,Barley,7,873
Harare,Harare,,Dry,Oats,285,9000
Harare,Harare,,Dry,Rye,224,18936
Harare,Harare,,Dry,Mustard greens,57,12962
Harare,Harare,,Dry,Spinach,179,16599
Harare,Harare,,Dry,Kale,434,19151
Harare,Harare,,Dry,Carrots,166,8299
Harare,Harare,,Dry,Beets,408,1016
Harare,Harare,,Dry,Broccoli,234,21276
Harare,Harare,,Dry,Cauliflower,110,18747
Harare,Harare,,Dry,Cabbage,278,21770
Harare,Harare,,Dry,Onions,348,4133
Harare,Harare,,Dry,Garlic,57,24030
Harare,Harare,,Dry,Peas,143,8108
Harare,Harare,,Dry,Radishes,225,4796
Bulawayo,Bulawayo,1999,Rainy     ,Soybeans,493,14729
Bulawayo,Bulawayo,1999,Rainy     ,Millet,388,15127
Bulawayo,Bulawayo,1999,Rainy     ,Maize ,286,19535
Bulawayo,Bulawayo,1999,Rainy     ,Soybeans,379,24131
Bulawayo,Bulawayo,1999,Rainy     ,Groundnuts (Peanuts),434,879
Bulawayo,Bulawayo,1999,Rainy     ,Cowpeas,54,8022
Bulawayo,Bulawayo,1999,Rainy     ,Sunflower,417,11896
Bulawayo,Bulawayo,1999,Rainy     ,Sorghum,64,4413
Bulawayo,Bulawayo,1999,Rainy     ,Millet,221,16115
Bulawayo,Bulawayo,1999,Rainy     ,Beans,324,6327
Bulawayo,Bulawayo,1999,Rainy     ,Sweet potatoes,233,2557
Bulawayo,Bulawayo,1999,Rainy     ,Watermelons,13,3146
Bulawayo,Bulawayo,1999,Rainy     ,Tomatoes,203,9324
Bulawayo,Bulawayo,1999,Rainy     ,Cabbage,32,1569
Bulawayo,Bulawayo,1999,Rainy     ,Peppers,145,17193
Bulawayo,Bulawayo,1999,Cold       ,Okra,350,12897
Bulawayo,Bulawayo,1999,Cold       ,Cucumbers,326,19393
Bulawayo,Bulawayo,1999,Cold       ,Kale,211,10436
Bulawayo,Bulawayo,1999,Cold       ,Spinach,19,13465
Bulawayo,Bulawayo,1999,Cold       ,Lettuce,401,24351
Bulawayo,Bulawayo,1999,Cold       ,Broccoli,89,9690
Bulawayo,Bulawayo,1999,Cold       ,Cauliflower,91,19331
Bulawayo,Bulawayo,1999,Cold       ,Cabbage,142,18749
Bulawayo,Bulawayo,1999,Cold       ,Carrots,126,13495
Bulawayo,Bulawayo,1999,Hot     ,Sweet potatoes,284,11077
Bulawayo,Bulawayo,1999,Hot     ,Watermelons,179,21395
Bulawayo,Bulawayo,1999,Hot     ,Tomatoes,1,24098
Bulawayo,Bulawayo,1999,Hot     ,Peppers,181,19266
Bulawayo,Bulawayo,1999,Hot     ,Okra,201,917
Bulawayo,Bulawayo,1999,Hot     ,Cucumbers,132,2376
Bulawayo,Bulawayo,1999,Hot     ,Eggplant,336,5083
Bulawayo,Bulawayo,1999,Hot     ,Pumpkins,327,7970
Bulawayo,Bulawayo,1999,Hot     ,Squash,173,24036
Bulawayo,Bulawayo,1999,Hot     ,Melons,39,8806
Bulawayo,Bulawayo,1999,Cold       ,Beets,181,16927
