,Crop,N,P,K,pH,soil_moisture
0,sugarcane,80,40,40,5.5,30
3,maize,80,40,20,5.5,50
5,chickpea,40,60,80,5.5,60
12,kidneybeans,20,60,20,5.5,45
13,pigeonpeas,20,60,20,5.5,45
14,barley,20,40,20,5.5,30
15,tobacco,20,40,20,5.5,80
18,millets,40,60,20,5,60
24,cucumbers,20,60,20,5.5,90
60,pomegranate,20,10,40,5.5,30
61,banana,100,75,50,6.5,40
62,groundnuts,20,20,30,5,15
63,grapes,20,125,200,4,60
66,watermelon,100,10,50,5.5,70
67,wheat,100,10,50,5.5,30
69,cotton,20,125,200,6.5,50
74,orange,20,10,10,4,60
75,papaya,50,50,50,6,20
88,coconut,20,10,30,5,45
93,cotton,120,40,20,5.5,70
94,oil seeds,80,40,40,5.5,20
95,coffee,100,20,30,5.5,20
